reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-ANI,8005F2,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-05-02,2016-11-30,36277,2012,SUMMIT MERIDIAN AIRCRAFT LLC,SUMMIT MERIDIAN LEASING COMPANY LIMITED
VT-ANJ,8005F3,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-05-02,2016-08-09,36281,2012,INV B87 AIRCRAFT LLC,INV B87 LEASING COMPANY LIMITED
VT-ANK,8005F4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-05-02,2016-08-09,36282,2012,INV B87 AIRCRAFT LLC,INV B87 LEASING COMPANY LIMITED
VT-ANL,800732,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-05-02,2016-08-09,36283,2012,INV B87 AIRCRAFT LLC,INV B87 LEASING COMPANY LIMITED
VT-ANM,800733,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-09-04,2016-08-09,36284,2013,INV B87 AIRCRAFT LLC,INV B87 LEASING COMPANY LIMITED
VT-ANN,800734,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-12-05,2016-07-25,36285,2013,NATPAT AIRCRAFT LLC,NATPAT LIMITED LEASING COMPANY
VT-ANO,800735,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2013-12-05,2016-07-22,36286,2013,NATPAT AIRCRAFT LLC,NATPAT LEASING COMPANY LIMITED
VT-ANP,800736,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2014-06-12,2017-04-19,36287,2014,PINNACLE STREAM LEASING COMPANY LIMITED,PINNACLE STREAM LEASING COMPANY LIMITED
VT-ANQ,800737,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-18,36288,2014,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-ANR,800738,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-19,36289,2014,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-ANS,800739,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-18,36290,2014,AIR INDIA LIMITED,-
VT-ANT,80073A,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-18,36291,2015,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-ANU,80073B,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-19,36292,2015,M/S WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,M/S WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-ANV,80073C,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2016-02-10,2017-04-19,36293,2015,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED,WILMINGTON TRUST SP SERVICES DUBLIN LIMITED
VT-ANW,80073D,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2018-02-13,36294,2016,AIR INDIA LIMITED,-
VT-ANX,80073E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2017-01-12,36295,2016,AIR INDIA LIMITED,-
VT-ANY,80073F,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2017-09-26,2017-07-18,36296,2017,AIR INDIA LIMITED,-
VT-ANZ,800740,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2026-08-31,2017-09-26,2017-08-31,36297,2017,AIR INDIA LIMITED,-
VT-APL,800590,GSEC Aviation,GSEC Aviation Limited,non-scheduled,#15/2025,2030-09-21,Bombardier Challenger 605,CL60,Bombardier,Bombardier Challenger 600 series,FW,10,10,passenger,ns-oper.pdf,2026-08-31,2010-06-30,2009-11-11,,,,
VT-APV,8017A9,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,PC-24,PC24,Pilatus,Pilatus PC-24,FW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2025-06-06,564,2025,Udanvat Leasing IFSC Limited,Udanvat Leasing IFSC Limited
VT-AQL,801636,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,PC-24,PC24,Pilatus,Pilatus PC-24,FW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-ARB,,Aryan Aviation,Aryan Aviation Pvt. Ltd.,non-scheduled,#13/2009,2029-04-07,BELL 407,B407,Bell,Bell 407,RW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-ARC,800BBB,AR Airways,AR Airways Pvt. Ltd.,non-scheduled,#01/2005,2029-05-11,FALCON 2000,F2TH,Dassault,Dassault Falcon 2000,FW,9,9,passenger,ns-oper.pdf,2026-08-31,2016-10-10,2018-05-18,226,2005,AR AIRWAYS PVT LTD,-
VT-ARF,800B16,AR Airways,AR Airways Pvt. Ltd.,non-scheduled,#01/2005,2029-05-11,FALCON 2000,F2TH,Dassault,Dassault Falcon 2000,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2015-03-26,2018-09-14,143,2001,M/S AR AIRWAYS PVT LTD,-
VT-ARL,8015DC,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,EMB-135BJ,E35L,Embraer,Embraer Legacy 600/650,FW,13,13,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2023-10-08,14501168,2013,Karnavati Aviation Pvt Ltd,
VT-ARM,800CF1,AR Airways,AR Airways Pvt. Ltd.,non-scheduled,#01/2005,2029-05-11,FALCON 2000,F2TH,Dassault,Dassault Falcon 2000,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2019-03-31,2018-10-26,207,2003,AR AIRWAYS PVT LTD,-
VT-ARO,800C9C,AR Airways,AR Airways Pvt. Ltd.,non-scheduled,#01/2005,2029-05-11,FALCON 2000,F2TH,Dassault,Dassault Falcon 2000,FW,12,12,passenger,ns-oper.pdf,2026-08-31,2018-05-01,,,,,
VT-ASC,,Arrow Aircrafts Sales & Charters,Arrow Aircrafts Sales & Charters Pvt. Ltd.,non-scheduled,#4/2014,2028-03-10,AS350B3,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6/Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2025-09-30,2019-12-31,8757,2019,"HELIWISS IBERICA SA HANGER NO-4 (LADO NORTE), AEROPUERTO DE SABADELL 08205 SAPADELL, BARCELONA, SPAIN",SAME AS OWNER
VT-ASD,801572,Arrow Aircrafts Sales & Charters,Arrow Aircrafts Sales & Charters Pvt. Ltd.,non-scheduled,#4/2014,2028-03-10,AS350B3,AS50,Airbus Helicopters,Airbus H125 (AS350),RW,6,6/Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2025-09-30,2022-12-30,9314,2022,HELISWISS IBERICA S.A,HELISWISS IBERICA S.A
VT-ASL,,Thumby Aviation,Thumby Aviation Pvt. Ltd.,non-scheduled,#02/2013,2029-03-24,BELL 412 EP,B412,Bell,Bell 412,RW,13,13,passenger,ns-oper.pdf,2026-08-31,2016-10-10,2016-01-12,36221,1998,AGNEET SKY LIMITED,AGNEET SKY LIMITED
VT-ASO,,Simm Samm Airways,Simm Samm Airways Pvt. Ltd.,non-scheduled,#14/2009,2029-04-08,SIKORSKY S-76C++,S76,Sikorsky,Sikorsky S-76,RW,12,12,passenger,ns-oper.pdf,2026-08-31,2026-05-31,,,,,
VT-ASR,801533,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,Global 7500 BD700-2A-12,GL7T,Bombardier,Bombardier Global 7500,FW,14,14,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2022-11-29,70129,2022,Reliance Commercial Dealers Limited,
VT-AST,801668,Kairamya Aviation,Kairamya Aviation Pvt. Ltd.,non-scheduled,#19/2025,2029-11-24,G-150,G150,Gulfstream,Gulfstream G150,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-04-04,295,2011,TRAVIAN FLIGHT SERVICES PVT LTD,
VT-ASU,800B7F,IIC Technologies,IIC Technologies Limited,non-scheduled,#06/2015,2029-07-09,CESSNA CARAVAN 208B,C208,Cessna,Cessna 208 Grand Caravan,FW,9,9,passenger,ns-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-ATD,801403,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-10-20,10037,2020,CELESTIAL AVIATION TRADING 36 LIMITED,CELESTIAL AVIATION TRADING 36 LIMITED
VT-ATE,801407,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-11-26,9525,2020,M/S CELESTIAL AVIATION TRADING 36 LIMITED,M/S CELESTIAL AVIATION TRADING 36 LIMITED
