reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-BOM,80138D,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-BXA,8015F0,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXB,8015EF,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXC,8015EE,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXD,801607,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXE,801604,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXF,801605,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXG,801606,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXH,801623,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXI,80162C,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXJ,80162D,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXK,801643,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXL,80165E,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXM,801670,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXN,80165C,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXO,80165D,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXP,80166D,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BXQ,801641,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-8,B38M,Boeing,Boeing 737-8,FW,176,176,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
